order_id,order_date,shift,channel,item_count,cancelled,issue_code,accept_min,prep_min,handover_min,wait_minutes,within_target
ORD-00001,2026-09-07,breakfast,counter,4,0,,0.63,6.31,2.18,9.12,1
ORD-00002,2026-09-07,breakfast,app,4,0,,0.52,13.49,1.76,15.77,0
ORD-00003,2026-09-07,breakfast,counter,2,0,,0.73,11.73,1.98,14.44,0
ORD-00004,2026-09-07,breakfast,app,3,0,,0.71,9.38,0.91,11.0,1
ORD-00005,2026-09-07,breakfast,counter,2,0,,1.26,10.91,2.43,14.6,0
ORD-00006,2026-09-07,breakfast,counter,2,0,,1.7,9.16,2.23,13.08,0
ORD-00007,2026-09-07,breakfast,app,3,0,,0.87,9.12,0.3,10.29,1
ORD-00008,2026-09-07,breakfast,app,3,0,,0.97,5.49,1.09,7.55,1
ORD-00009,2026-09-07,breakfast,counter,2,0,,1.78,13.35,3.29,18.42,0
ORD-00010,2026-09-07,breakfast,counter,1,0,,1.27,10.09,2.35,13.71,0
ORD-00011,2026-09-07,breakfast,counter,3,0,,0.69,10.9,1.97,13.56,0
ORD-00012,2026-09-07,breakfast,app,1,0,,1.17,6.82,2.43,10.42,1
ORD-00013,2026-09-07,breakfast,app,3,0,,1.63,9.24,1.44,12.32,0
ORD-00014,2026-09-07,breakfast,counter,4,0,,1.74,8.78,4.21,14.73,0
ORD-00015,2026-09-07,breakfast,counter,4,0,,1.09,7.25,1.92,10.25,1
ORD-00016,2026-09-07,breakfast,app,3,0,,0.27,4.89,1.32,6.48,1
ORD-00017,2026-09-07,breakfast,app,1,0,,0.47,8.02,1.1,9.59,1
ORD-00018,2026-09-07,breakfast,counter,4,0,,0.54,9.15,1.2,10.9,1
ORD-00019,2026-09-07,breakfast,counter,2,0,,1.58,12.51,2.96,17.05,0
ORD-00020,2026-09-07,breakfast,counter,4,0,,0.48,9.78,1.63,11.89,1
ORD-00021,2026-09-07,breakfast,counter,4,0,,1.52,12.31,4.15,17.98,0
ORD-00022,2026-09-07,breakfast,app,3,0,,0.84,8.91,1.34,11.09,1
ORD-00023,2026-09-07,breakfast,counter,4,0,kitchen_rework,0.3,21.44,1.11,22.84,0
ORD-00024,2026-09-07,breakfast,app,1,0,,0.99,6.22,1.03,8.25,1
ORD-00025,2026-09-07,breakfast,app,3,0,,1.51,11.84,2.49,15.84,0
ORD-00026,2026-09-07,breakfast,counter,4,0,,1.39,2.3,0.89,4.58,1
ORD-00027,2026-09-07,breakfast,counter,1,0,,1.51,8.07,2.38,11.97,1
ORD-00028,2026-09-07,breakfast,app,4,0,stockout,1.06,8.34,1.58,10.98,1
ORD-00029,2026-09-07,breakfast,app,1,0,,1.47,10.09,1.23,12.8,0
ORD-00030,2026-09-07,breakfast,app,1,0,,0.89,12.99,1.9,15.78,0
ORD-00031,2026-09-07,breakfast,app,3,0,,1.18,6.62,0.81,8.6,1
ORD-00032,2026-09-07,breakfast,counter,4,0,,1.42,9.11,2.1,12.63,0
ORD-00033,2026-09-07,breakfast,counter,3,0,,1.35,6.87,2.21,10.44,1
ORD-00034,2026-09-07,breakfast,app,2,0,,0.76,4.84,1.87,7.47,1
ORD-00035,2026-09-07,breakfast,app,2,0,,1.51,8.89,2.67,13.06,0
ORD-00036,2026-09-07,breakfast,counter,2,0,,1.8,7.2,2.59,11.59,1
ORD-00037,2026-09-07,breakfast,counter,1,0,,1.61,10.68,2.52,14.82,0
ORD-00038,2026-09-07,breakfast,app,2,0,,1.13,7.25,1.49,9.87,1
ORD-00039,2026-09-07,breakfast,counter,1,1,,1.79,11.16,,,
ORD-00040,2026-09-07,breakfast,counter,3,0,,1.46,9.29,2.66,13.42,0
ORD-00041,2026-09-07,breakfast,app,2,0,,1.2,11.57,1.74,14.51,0
ORD-00042,2026-09-07,breakfast,app,2,0,,0.46,14.79,0.53,15.78,0
ORD-00043,2026-09-07,breakfast,counter,1,0,,0.42,9.74,0.3,10.46,1
ORD-00044,2026-09-07,breakfast,counter,3,0,,1.2,5.03,0.3,6.54,1
ORD-00045,2026-09-07,breakfast,app,2,0,,1.02,10.99,1.12,13.14,0
ORD-00046,2026-09-07,breakfast,counter,1,0,kitchen_rework,0.58,15.01,2.71,18.29,0
ORD-00047,2026-09-07,breakfast,app,2,1,,0.74,9.04,,,
ORD-00048,2026-09-07,breakfast,counter,4,0,,1.99,6.29,1.25,9.52,1
ORD-00049,2026-09-07,breakfast,app,2,1,,1.78,14.6,,,
ORD-00050,2026-09-07,breakfast,app,4,0,,1.06,13.85,2.88,17.79,0
ORD-00051,2026-09-07,breakfast,counter,2,0,,0.72,15.37,2.03,18.12,0
ORD-00052,2026-09-07,breakfast,app,1,0,,0.94,8.96,1.83,11.73,1
ORD-00053,2026-09-07,breakfast,app,1,0,,0.93,8.55,1.69,11.18,1
ORD-00054,2026-09-07,breakfast,counter,1,0,,0.74,6.52,2.09,9.35,1
ORD-00055,2026-09-07,breakfast,counter,2,0,,0.79,5.19,1.41,7.4,1
ORD-00056,2026-09-07,breakfast,app,2,0,,0.75,5.97,1.77,8.49,1
ORD-00057,2026-09-07,breakfast,counter,3,0,,1.63,8.07,3.02,12.72,0
ORD-00058,2026-09-07,breakfast,app,4,0,,1.72,10.16,2.52,14.41,0
ORD-00059,2026-09-07,breakfast,app,3,0,,1.14,12.44,1.64,15.22,0
