order_id,order_ts,accepted_ts,ready_ts,handover_ts,shift,channel,item_count,cancelled,issue_code
ORD-00001,2026-09-07T09:48:17,2026-09-07T09:48:54.684407,2026-09-07T09:55:13.479391,2026-09-07T09:57:24.033276,breakfast,counter,4,false,
ORD-00002,2026-09-07T09:40:20,2026-09-07T09:40:51.470172,2026-09-07T09:54:20.732690,2026-09-07T09:56:06.421305,breakfast,app,4,false,
ORD-00003,2026-09-07T08:09:55,2026-09-07T08:10:38.818439,2026-09-07T08:22:22.703007,2026-09-07T08:24:21.511633,breakfast,counter,2,false,
ORD-00004,2026-09-07T08:03:45,2026-09-07T08:04:27.584434,2026-09-07T08:13:50.493934,2026-09-07T08:14:44.933388,breakfast,app,3,false,
ORD-00005,2026-09-07T09:27:50,2026-09-07T09:29:05.464269,2026-09-07T09:40:00.060801,2026-09-07T09:42:25.848331,breakfast,counter,2,false,
ORD-00006,2026-09-07T09:08:30,2026-09-07T09:10:11.754545,2026-09-07T09:19:21.224461,2026-09-07T09:21:34.942544,breakfast,counter,2,false,
ORD-00007,2026-09-07T08:04:47,2026-09-07T08:05:39.198219,2026-09-07T08:14:46.590053,2026-09-07T08:15:04.590053,breakfast,app,3,false,
ORD-00008,2026-09-07T08:25:22,2026-09-07T08:26:20.383677,2026-09-07T08:31:49.940651,2026-09-07T08:32:55.221299,breakfast,app,3,false,
ORD-00009,2026-09-07T09:02:23,2026-09-07T09:04:09.574069,2026-09-07T09:17:30.765394,2026-09-07T09:20:48.089127,breakfast,counter,2,false,
ORD-00010,2026-09-07T09:38:45,2026-09-07T09:40:01.472114,2026-09-07T09:50:06.845906,2026-09-07T09:52:27.592109,breakfast,counter,1,false,
ORD-00011,2026-09-07T09:52:42,2026-09-07T09:53:23.137225,2026-09-07T10:04:17.261994,2026-09-07T10:06:15.401662,breakfast,counter,3,false,
ORD-00012,2026-09-07T08:46:49,2026-09-07T08:47:59.047382,2026-09-07T08:54:48.104340,2026-09-07T08:57:13.921467,breakfast,app,1,false,
ORD-00013,2026-09-07T09:11:03,2026-09-07T09:12:40.897086,2026-09-07T09:21:55.372399,2026-09-07T09:23:22.056051,breakfast,app,3,false,
ORD-00014,2026-09-07T08:44:06,2026-09-07T08:45:50.349151,2026-09-07T08:54:37.302484,2026-09-07T08:58:49.966726,breakfast,counter,4,false,
ORD-00015,2026-09-07T08:01:27,2026-09-07T08:02:32.106155,2026-09-07T08:09:47.188633,2026-09-07T08:11:42.188179,breakfast,counter,4,false,
ORD-00016,2026-09-07T09:39:33,2026-09-07T09:39:49.218988,2026-09-07T09:44:42.518386,2026-09-07T09:46:01.649246,breakfast,app,3,false,
ORD-00017,2026-09-07T09:54:37,2026-09-07T09:55:05.144124,2026-09-07T10:03:06.363856,2026-09-07T10:04:12.594409,breakfast,app,1,false,
ORD-00018,2026-09-07T09:36:46,2026-09-07T09:37:18.695496,2026-09-07T09:46:27.798773,2026-09-07T09:47:39.827564,breakfast,counter,4,false,
ORD-00019,2026-09-07T09:10:49,2026-09-07T09:12:24.049643,2026-09-07T09:24:54.515252,2026-09-07T09:27:52.291366,breakfast,counter,2,false,
ORD-00020,2026-09-07T08:01:45,2026-09-07T08:02:14.055002,2026-09-07T08:12:00.662862,2026-09-07T08:13:38.671883,breakfast,counter,4,false,
ORD-00021,2026-09-07T09:14:25,2026-09-07T09:15:56.122828,2026-09-07T09:28:14.917180,2026-09-07T09:32:24.099421,breakfast,counter,4,false,
ORD-00022,2026-09-07T09:52:19,2026-09-07T09:53:09.640344,2026-09-07T10:02:03.982809,2026-09-07T10:03:24.553073,breakfast,app,3,false,
ORD-00023,2026-09-07T09:58:38,2026-09-07T09:58:55.753801,2026-09-07T10:20:21.929346,2026-09-07T10:21:28.558930,breakfast,counter,4,false,kitchen_rework
ORD-00024,2026-09-07T08:13:02,2026-09-07T08:14:01.610874,2026-09-07T08:20:15.051533,2026-09-07T08:21:16.983771,breakfast,app,1,false,
ORD-00025,2026-09-07T08:32:40,2026-09-07T08:34:10.431071,2026-09-07T08:46:00.597540,2026-09-07T08:48:30.244833,breakfast,app,3,false,
ORD-00026,2026-09-07T08:23:51,2026-09-07T08:25:14.446712,2026-09-07T08:27:32.446712,2026-09-07T08:28:25.609146,breakfast,counter,4,false,
ORD-00027,2026-09-07T09:10:59,2026-09-07T09:12:29.653816,2026-09-07T09:20:34.050881,2026-09-07T09:22:57.002882,breakfast,counter,1,false,
ORD-00028,2026-09-07T09:15:41,2026-09-07T09:16:44.396960,2026-09-07T09:25:05.089231,2026-09-07T09:26:40.049685,breakfast,app,4,false,stockout
ORD-00029,2026-09-07T08:59:01,2026-09-07T09:00:29.347733,2026-09-07T09:10:35.029022,2026-09-07T09:11:48.817566,breakfast,app,1,false,
ORD-00030,2026-09-07T09:04:02,2026-09-07T09:04:55.329224,2026-09-07T09:17:54.797357,2026-09-07T09:19:48.784798,breakfast,app,1,false,
ORD-00031,2026-09-07T08:14:03,2026-09-07T08:15:13.694676,2026-09-07T08:21:50.610355,2026-09-07T08:22:39.004240,breakfast,app,3,false,
ORD-00032,2026-09-07T08:42:42,2026-09-07T08:44:06.993654,2026-09-07T08:53:13.766481,2026-09-07T08:55:19.612525,breakfast,counter,4,false,
ORD-00033,2026-09-07T08:04:29,2026-09-07T08:05:49.840857,2026-09-07T08:12:42.289194,2026-09-07T08:14:55.144104,breakfast,counter,3,false,
ORD-00034,2026-09-07T09:54:43,2026-09-07T09:55:28.302379,2026-09-07T10:00:18.921045,2026-09-07T10:02:11.051772,breakfast,app,2,false,
ORD-00035,2026-09-07T09:02:50,2026-09-07T09:04:20.532794,2026-09-07T09:13:13.841421,2026-09-07T09:15:53.762536,breakfast,app,2,false,
